,Unnamed: 0,Unnamed: 0.1,tube_assembly_id,supplier,bracket_pricing,quantity,cost,component_id_1_name,quantity_1,component_id_2_name,quantity_2,component_id_3_name,quantity_3,material_id,diameter,wall,length,num_bends,bend_radius,end_a_2x,end_x_2x,end_a,end_x,year,month,day
33,33,34,TA-00014,S-0066,Yes,2,12.43023987,NUT-SWIVEL,2,SLEEVE-ORFS,2,,0,SP-0029,12.7,0.89,96.0,4,38.1,N,N,EF-003,EF-003,2013,3,807
34,34,35,TA-00014,S-0066,Yes,5,6.690852033,NUT-SWIVEL,2,SLEEVE-ORFS,2,,0,SP-0029,12.7,0.89,96.0,4,38.1,N,N,EF-003,EF-003,2013,3,807
35,35,36,TA-00014,S-0066,Yes,10,4.779577461,NUT-SWIVEL,2,SLEEVE-ORFS,2,,0,SP-0029,12.7,0.89,96.0,4,38.1,N,N,EF-003,EF-003,2013,3,807
36,36,37,TA-00014,S-0066,Yes,25,3.63058707,NUT-SWIVEL,2,SLEEVE-ORFS,2,,0,SP-0029,12.7,0.89,96.0,4,38.1,N,N,EF-003,EF-003,2013,3,807
37,37,38,TA-00014,S-0066,Yes,50,3.316214397,NUT-SWIVEL,2,SLEEVE-ORFS,2,,0,SP-0029,12.7,0.89,96.0,4,38.1,N,N,EF-003,EF-003,2013,3,807
38,38,39,TA-00014,S-0066,Yes,100,3.174329385,NUT-SWIVEL,2,SLEEVE-ORFS,2,,0,SP-0029,12.7,0.89,96.0,4,38.1,N,N,EF-003,EF-003,2013,3,807
39,39,40,TA-00014,S-0066,Yes,250,3.088085554,NUT-SWIVEL,2,SLEEVE-ORFS,2,,0,SP-0029,12.7,0.89,96.0,4,38.1,N,N,EF-003,EF-003,2013,3,807
40,40,43,TA-00024,S-0066,Yes,1,20.93499441,NUT-INV FLARED,2,,0,,0,SP-0039,9.52,0.71,99.0,2,31.75,N,N,EF-008,EF-008,2013,8,944
41,41,44,TA-00024,S-0066,Yes,2,11.37027537,NUT-INV FLARED,2,,0,,0,SP-0039,9.52,0.71,99.0,2,31.75,N,N,EF-008,EF-008,2013,8,944
42,42,45,TA-00024,S-0066,Yes,5,5.633669592,NUT-INV FLARED,2,,0,,0,SP-0039,9.52,0.71,99.0,2,31.75,N,N,EF-008,EF-008,2013,8,944
43,43,46,TA-00024,S-0066,Yes,10,3.71961296,NUT-INV FLARED,2,,0,,0,SP-0039,9.52,0.71,99.0,2,31.75,N,N,EF-008,EF-008,2013,8,944
44,44,47,TA-00024,S-0066,Yes,25,2.573404628,NUT-INV FLARED,2,,0,,0,SP-0039,9.52,0.71,99.0,2,31.75,N,N,EF-008,EF-008,2013,8,944
45,45,48,TA-00024,S-0066,Yes,50,2.256249896,NUT-INV FLARED,2,,0,,0,SP-0039,9.52,0.71,99.0,2,31.75,N,N,EF-008,EF-008,2013,8,944
46,46,49,TA-00024,S-0066,Yes,100,2.114364884,NUT-INV FLARED,2,,0,,0,SP-0039,9.52,0.71,99.0,2,31.75,N,N,EF-008,EF-008,2013,8,944
47,47,50,TA-00024,S-0066,Yes,250,2.030903112,NUT-INV FLARED,2,,0,,0,SP-0039,9.52,0.71,99.0,2,31.75,N,N,EF-008,EF-008,2013,8,944
48,48,51,TA-00025,S-0066,Yes,1,20.78198116,NUT-INV FLARED,2,,0,,0,SP-0039,9.52,0.71,65.0,3,31.75,N,N,EF-008,EF-008,2013,8,944
49,49,52,TA-00025,S-0066,Yes,2,11.21726212,NUT-INV FLARED,2,,0,,0,SP-0039,9.52,0.71,65.0,3,31.75,N,N,EF-008,EF-008,2013,8,944
50,50,53,TA-00025,S-0066,Yes,5,5.477874284,NUT-INV FLARED,2,,0,,0,SP-0039,9.52,0.71,65.0,3,31.75,N,N,EF-008,EF-008,2013,8,944
51,51,54,TA-00025,S-0066,Yes,10,3.566599712,NUT-INV FLARED,2,,0,,0,SP-0039,9.52,0.71,65.0,3,31.75,N,N,EF-008,EF-008,2013,8,944
52,52,55,TA-00025,S-0066,Yes,25,2.417609321,NUT-INV FLARED,2,,0,,0,SP-0039,9.52,0.71,65.0,3,31.75,N,N,EF-008,EF-008,2013,8,944
53,53,56,TA-00025,S-0066,Yes,50,2.103236648,NUT-INV FLARED,2,,0,,0,SP-0039,9.52,0.71,65.0,3,31.75,N,N,EF-008,EF-008,2013,8,944
54,54,57,TA-00025,S-0066,Yes,100,1.961351636,NUT-INV FLARED,2,,0,,0,SP-0039,9.52,0.71,65.0,3,31.75,N,N,EF-008,EF-008,2013,8,944
55,55,58,TA-00025,S-0066,Yes,250,1.877889864,NUT-INV FLARED,2,,0,,0,SP-0039,9.52,0.71,65.0,3,31.75,N,N,EF-008,EF-008,2013,8,944
56,56,60,TA-00028,S-0062,Yes,5,16.7090467,BOSS,1,,0,,0,SP-0028,12.7,1.65,104.0,3,127.0,N,N,EF-003,NONE,2011,6,175
57,57,61,TA-00028,S-0062,Yes,10,10.1517335,BOSS,1,,0,,0,SP-0028,12.7,1.65,104.0,3,127.0,N,N,EF-003,NONE,2011,6,175
58,58,68,TA-00034,S-0062,Yes,1,94.02524997,ELBOW,1,,0,,0,SP-0028,25.4,1.65,55.0,2,50.8,N,N,EF-003,EF-009,2014,8,1315
59,59,70,TA-00034,S-0062,Yes,6,22.66265308,ELBOW,1,,0,,0,SP-0028,25.4,1.65,55.0,2,50.8,N,N,EF-003,EF-009,2014,8,1315
60,60,71,TA-00034,S-0062,Yes,10,16.9538679,ELBOW,1,,0,,0,SP-0028,25.4,1.65,55.0,2,50.8,N,N,EF-003,EF-009,2014,8,1315
61,61,72,TA-00034,S-0062,Yes,20,11.67630186,ELBOW,1,,0,,0,SP-0028,25.4,1.65,55.0,2,50.8,N,N,EF-003,EF-009,2014,8,1315
62,62,73,TA-00034,S-0062,Yes,50,8.969358402,ELBOW,1,,0,,0,SP-0028,25.4,1.65,55.0,2,50.8,N,N,EF-003,EF-009,2014,8,1315
63,63,78,TA-00052,S-0066,Yes,1,29.55937749,BOSS,2,NUT-SWIVEL,1,SLEEVE-ORFS,1,SP-0029,25.4,1.65,96.0,1,63.5,N,N,EF-003,EF-003,2013,10,1005
64,64,79,TA-00052,S-0066,Yes,2,17.69945972,BOSS,2,NUT-SWIVEL,1,SLEEVE-ORFS,1,SP-0029,25.4,1.65,96.0,1,63.5,N,N,EF-003,EF-003,2013,10,1005
65,65,80,TA-00052,S-0066,Yes,5,10.58295265,BOSS,2,NUT-SWIVEL,1,SLEEVE-ORFS,1,SP-0029,25.4,1.65,96.0,1,63.5,N,N,EF-003,EF-003,2013,10,1005
66,66,81,TA-00052,S-0066,Yes,10,8.209856279,BOSS,2,NUT-SWIVEL,1,SLEEVE-ORFS,1,SP-0029,25.4,1.65,96.0,1,63.5,N,N,EF-003,EF-003,2013,10,1005
67,67,82,TA-00052,S-0066,Yes,25,6.7882241,BOSS,2,NUT-SWIVEL,1,SLEEVE-ORFS,1,SP-0029,25.4,1.65,96.0,1,63.5,N,N,EF-003,EF-003,2013,10,1005
68,68,83,TA-00052,S-0066,Yes,50,6.379261419,BOSS,2,NUT-SWIVEL,1,SLEEVE-ORFS,1,SP-0029,25.4,1.65,96.0,1,63.5,N,N,EF-003,EF-003,2013,10,1005
69,69,84,TA-00052,S-0066,Yes,100,6.192863462,BOSS,2,NUT-SWIVEL,1,SLEEVE-ORFS,1,SP-0029,25.4,1.65,96.0,1,63.5,N,N,EF-003,EF-003,2013,10,1005
70,70,85,TA-00052,S-0066,Yes,250,6.0815811,BOSS,2,NUT-SWIVEL,1,SLEEVE-ORFS,1,SP-0029,25.4,1.65,96.0,1,63.5,N,N,EF-003,EF-003,2013,10,1005
71,71,90,TA-00056,S-0066,Yes,1,28.64686212,NUT-SWIVEL,1,SLEEVE-ORFS,1,CONNECTOR-SEAL,1,SP-0029,15.88,1.65,128.0,5,38.1,N,N,EF-003,EF-003,2013,9,975
72,72,91,TA-00056,S-0066,Yes,2,16.78694435,NUT-SWIVEL,1,SLEEVE-ORFS,1,CONNECTOR-SEAL,1,SP-0029,15.88,1.65,128.0,5,38.1,N,N,EF-003,EF-003,2013,9,975
73,73,92,TA-00056,S-0066,Yes,5,9.670437284,NUT-SWIVEL,1,SLEEVE-ORFS,1,CONNECTOR-SEAL,1,SP-0029,15.88,1.65,128.0,5,38.1,N,N,EF-003,EF-003,2013,9,975
74,74,93,TA-00056,S-0066,Yes,10,7.300122967,NUT-SWIVEL,1,SLEEVE-ORFS,1,CONNECTOR-SEAL,1,SP-0029,15.88,1.65,128.0,5,38.1,N,N,EF-003,EF-003,2013,9,975
75,75,94,TA-00056,S-0066,Yes,25,5.87570873,NUT-SWIVEL,1,SLEEVE-ORFS,1,CONNECTOR-SEAL,1,SP-0029,15.88,1.65,128.0,5,38.1,N,N,EF-003,EF-003,2013,9,975
76,76,95,TA-00056,S-0066,Yes,50,5.469528107,NUT-SWIVEL,1,SLEEVE-ORFS,1,CONNECTOR-SEAL,1,SP-0029,15.88,1.65,128.0,5,38.1,N,N,EF-003,EF-003,2013,9,975
77,77,96,TA-00056,S-0066,Yes,100,5.280348091,NUT-SWIVEL,1,SLEEVE-ORFS,1,CONNECTOR-SEAL,1,SP-0029,15.88,1.65,128.0,5,38.1,N,N,EF-003,EF-003,2013,9,975
78,78,97,TA-00056,S-0066,Yes,250,5.169065729,NUT-SWIVEL,1,SLEEVE-ORFS,1,CONNECTOR-SEAL,1,SP-0029,15.88,1.65,128.0,5,38.1,N,N,EF-003,EF-003,2013,9,975
79,79,98,TA-00058,S-0072,Yes,2,11.91555894,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,50.0,6,19.05,N,N,EF-008,EF-008,2014,7,1306
80,80,99,TA-00058,S-0072,Yes,4,8.646639551,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,50.0,6,19.05,N,N,EF-008,EF-008,2014,7,1306
81,81,100,TA-00058,S-0072,Yes,6,7.227789432,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,50.0,6,19.05,N,N,EF-008,EF-008,2014,7,1306
82,82,101,TA-00058,S-0072,Yes,8,6.451594954,NUT-FLARED,2,,0,,0,SP-0019,6.35,0.71,50.0,6,19.05,N,N,EF-008,EF-008,2014,7,1306
83,83,102,TA-00061,S-0066,Yes,1,21.32170062,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,107.0,3,19.05,N,N,EF-008,EF-008,2013,6,883
84,84,103,TA-00061,S-0066,Yes,2,11.75698158,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,107.0,3,19.05,N,N,EF-008,EF-008,2013,6,883
85,85,104,TA-00061,S-0066,Yes,5,6.020375801,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,107.0,3,19.05,N,N,EF-008,EF-008,2013,6,883
86,86,105,TA-00061,S-0066,Yes,10,4.106319169,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,107.0,3,19.05,N,N,EF-008,EF-008,2013,6,883
87,87,106,TA-00061,S-0066,Yes,25,2.957328778,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,107.0,3,19.05,N,N,EF-008,EF-008,2013,6,883
88,88,107,TA-00061,S-0066,Yes,50,2.642956105,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,107.0,3,19.05,N,N,EF-008,EF-008,2013,6,883
89,89,108,TA-00061,S-0066,Yes,100,2.501071093,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,107.0,3,19.05,N,N,EF-008,EF-008,2013,6,883
90,90,109,TA-00061,S-0066,Yes,250,2.417609321,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,107.0,3,19.05,N,N,EF-008,EF-008,2013,6,883
91,91,116,TA-00076,S-0066,Yes,1,22.50685778,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,218.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
92,92,117,TA-00076,S-0066,Yes,2,12.94213874,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,218.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
93,93,118,TA-00076,S-0066,Yes,5,7.2027509,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,218.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
94,94,119,TA-00076,S-0066,Yes,10,5.291476327,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,218.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
95,95,120,TA-00076,S-0066,Yes,25,4.142485937,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,218.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
96,96,121,TA-00076,S-0066,Yes,50,3.825331204,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,218.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
97,97,122,TA-00076,S-0066,Yes,100,3.686228251,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,218.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
98,98,123,TA-00076,S-0066,Yes,250,3.59998442,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,218.0,7,19.05,N,N,EF-008,EF-008,2013,8,954
99,99,124,TA-00077,S-0066,Yes,3,35.30432944,NUT-FLARED,2,,0,,0,SP-0046,21.7,2.8,92.0,4,55.0,N,N,EF-021,EF-021,2012,4,461
100,100,125,TA-00077,S-0066,Yes,6,23.1578596,NUT-FLARED,2,,0,,0,SP-0046,21.7,2.8,92.0,4,55.0,N,N,EF-021,EF-021,2012,4,461
101,101,126,TA-00077,S-0066,Yes,9,18.79280893,NUT-FLARED,2,,0,,0,SP-0046,21.7,2.8,92.0,4,55.0,N,N,EF-021,EF-021,2012,4,461
102,102,127,TA-00077,S-0066,Yes,12,16.2472249,NUT-FLARED,2,,0,,0,SP-0046,21.7,2.8,92.0,4,55.0,N,N,EF-021,EF-021,2012,4,461
103,103,128,TA-00078,S-0066,Yes,1,21.60547064,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,133.0,4,19.05,N,N,EF-008,EF-008,2013,6,883
104,104,129,TA-00078,S-0066,Yes,2,12.0407516,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,133.0,4,19.05,N,N,EF-008,EF-008,2013,6,883
105,105,130,TA-00078,S-0066,Yes,5,6.301363765,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,133.0,4,19.05,N,N,EF-008,EF-008,2013,6,883
106,106,131,TA-00078,S-0066,Yes,10,4.387307134,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,133.0,4,19.05,N,N,EF-008,EF-008,2013,6,883
107,107,132,TA-00078,S-0066,Yes,25,3.241098802,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,133.0,4,19.05,N,N,EF-008,EF-008,2013,6,883
108,108,133,TA-00078,S-0066,Yes,50,2.923944069,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,133.0,4,19.05,N,N,EF-008,EF-008,2013,6,883
109,109,134,TA-00078,S-0066,Yes,100,2.782059058,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,133.0,4,19.05,N,N,EF-008,EF-008,2013,6,883
110,110,135,TA-00078,S-0066,Yes,250,2.698597286,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,133.0,4,19.05,N,N,EF-008,EF-008,2013,6,883
111,111,136,TA-00080,S-0066,Yes,1,21.53870122,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,125.0,4,19.05,N,N,EF-008,EF-008,2013,8,954
112,112,137,TA-00080,S-0066,Yes,2,11.97398218,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,125.0,4,19.05,N,N,EF-008,EF-008,2013,8,954
113,113,138,TA-00080,S-0066,Yes,5,6.234594348,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,125.0,4,19.05,N,N,EF-008,EF-008,2013,8,954
114,114,139,TA-00080,S-0066,Yes,10,4.320537716,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,125.0,4,19.05,N,N,EF-008,EF-008,2013,8,954
115,115,140,TA-00080,S-0066,Yes,25,3.174329385,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,125.0,4,19.05,N,N,EF-008,EF-008,2013,8,954
116,116,141,TA-00080,S-0066,Yes,50,2.857174652,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,125.0,4,19.05,N,N,EF-008,EF-008,2013,8,954
117,117,142,TA-00080,S-0066,Yes,100,2.718071699,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,125.0,4,19.05,N,N,EF-008,EF-008,2013,8,954
118,118,143,TA-00080,S-0066,Yes,250,2.631827868,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,125.0,4,19.05,N,N,EF-008,EF-008,2013,8,954
119,119,144,TA-00082,S-0066,Yes,1,21.49140622,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,103.0,6,19.05,N,N,EF-008,EF-008,2013,8,954
120,120,145,TA-00082,S-0066,Yes,2,11.92668718,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,103.0,6,19.05,N,N,EF-008,EF-008,2013,8,954
121,121,146,TA-00082,S-0066,Yes,5,6.187299344,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,103.0,6,19.05,N,N,EF-008,EF-008,2013,8,954
122,122,147,TA-00082,S-0066,Yes,10,4.273242712,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,103.0,6,19.05,N,N,EF-008,EF-008,2013,8,954
123,123,148,TA-00082,S-0066,Yes,25,3.127034381,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,103.0,6,19.05,N,N,EF-008,EF-008,2013,8,954
124,124,149,TA-00082,S-0066,Yes,50,2.809879648,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,103.0,6,19.05,N,N,EF-008,EF-008,2013,8,954
125,125,150,TA-00082,S-0066,Yes,100,2.667994636,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,103.0,6,19.05,N,N,EF-008,EF-008,2013,8,954
126,126,151,TA-00082,S-0066,Yes,250,2.584532864,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,103.0,6,19.05,N,N,EF-008,EF-008,2013,8,954
127,127,152,TA-00083,S-0066,Yes,1,21.49140622,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,103.0,6,19.05,N,N,EF-008,EF-008,2013,6,883
128,128,153,TA-00083,S-0066,Yes,2,11.92668718,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,103.0,6,19.05,N,N,EF-008,EF-008,2013,6,883
129,129,154,TA-00083,S-0066,Yes,5,6.187299344,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,103.0,6,19.05,N,N,EF-008,EF-008,2013,6,883
130,130,155,TA-00083,S-0066,Yes,10,4.273242712,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,103.0,6,19.05,N,N,EF-008,EF-008,2013,6,883
131,131,156,TA-00083,S-0066,Yes,25,3.127034381,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,103.0,6,19.05,N,N,EF-008,EF-008,2013,6,883
132,132,157,TA-00083,S-0066,Yes,50,2.809879648,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,103.0,6,19.05,N,N,EF-008,EF-008,2013,6,883
133,133,158,TA-00083,S-0066,Yes,100,2.667994636,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,103.0,6,19.05,N,N,EF-008,EF-008,2013,6,883
134,134,159,TA-00083,S-0066,Yes,250,2.584532864,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,103.0,6,19.05,N,N,EF-008,EF-008,2013,6,883
135,135,160,TA-00084,S-0066,Yes,1,21.59712446,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,132.0,4,19.05,N,N,EF-008,EF-008,2013,8,954
136,136,161,TA-00084,S-0066,Yes,2,12.03240542,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,132.0,4,19.05,N,N,EF-008,EF-008,2013,8,954
137,137,162,TA-00084,S-0066,Yes,5,6.293017588,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,132.0,4,19.05,N,N,EF-008,EF-008,2013,8,954
138,138,163,TA-00084,S-0066,Yes,10,4.378960957,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,132.0,4,19.05,N,N,EF-008,EF-008,2013,8,954
139,139,164,TA-00084,S-0066,Yes,25,3.232752625,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,132.0,4,19.05,N,N,EF-008,EF-008,2013,8,954
140,140,165,TA-00084,S-0066,Yes,50,2.915597892,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,132.0,4,19.05,N,N,EF-008,EF-008,2013,8,954
141,141,166,TA-00084,S-0066,Yes,100,2.77371288,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,132.0,4,19.05,N,N,EF-008,EF-008,2013,8,954
142,142,167,TA-00084,S-0066,Yes,250,2.690251109,NUT-FLARED,2,,0,,0,SP-0039,6.35,0.71,132.0,4,19.05,N,N,EF-008,EF-008,2013,8,954
